Plot,plot_id1,stock_seed_id,plot_block,plot_rep,StalkLodgingRawcount,Stand_count,Success.lodged,Failure.number_not_lodged,PC1,PC2,PC3,disease
NC310,16GD0189,Ames_27151_,11,1,0,18,0,18,103.3924385,74.02462182,-43.97810805,640
CQ183,16GD0190,001:55-2,11,1,84.21052632,19,16,3,NA,NA,NA,2582.5
NC268,16GD0191,PI_587145_,11,1,0,18,0,18,NA,NA,NA,1012.5
H100,16GD0192,Ames_22748_,11,1,38.88888889,18,7,11,NA,NA,NA,1750
C49A,16GD0193,Ames_27067_,11,1,47.36842105,19,9,10,8.881832891,-16.79686367,13.33024778,2535
NC232,16GD0194,Ames_12732_,11,1,16.66666667,12,2,10,-7.865716034,-5.526093463,3.364906432,1352.5
C123,16GD0195,Ames_19313_,11,1,0,17,0,17,-2.216013785,-31.31129172,-25.13297865,690
CQ183,16GD0196,001:55(x)-1,11,1,35,20,7,13,NA,NA,NA,2582.5
K4,16GD0197,NSL_30038_,11,1,0,18,0,18,8.087195303,-12.69957895,2.112241651,787.5
NC370,16GD0198,Ames_27181_,11,1,0,20,0,20,NA,NA,NA,1045
B104,16GD0199,PI_594047_,12,1,0,10,0,10,63.3780185,26.05150773,4.604268474,640
HP301,16GD0200,PI_587131_,12,1,0,12,0,12,4.661818372,-44.95640062,-21.2322872,820
NC222,16GD0201,Ames_12729_,12,1,0,7,NA,NA,-2.732669843,-16.18073154,4.194822603,932.5
B97,16GD0202,PI_564682_,12,1,0,20,0,20,12.80643651,-18.96758231,1.268521887,450
A556,16GD0203,Ames_23450_,12,1,0,19,0,19,-4.585289706,-7.390348402,1.950538429,1317.5
OH43E,16GD0204,Ames_27183_,12,1,10.52631579,19,2,17,13.88608811,-45.67683944,-10.33054177,1057.5
CML238,16GD0205,Ames_27089_,12,1,0,2,0,2,-43.11325606,23.10038691,1.866392881,NA
B77,16GD0206,PI_608765_,12,1,0,18,0,18,-4.300112949,-19.77066863,-6.009509225,867.5
Ia5125,16GD0207,PI_587135_,12,1,92.85714286,14,13,1,17.83869305,-41.66280696,8.926404192,1207.5
CML281,16GD0208,Ames_27092_,12,1,0,18,0,18,-41.21488744,28.13234748,1.257558648,1142.5
FR4326,16GD0209,011:292-5,12,1,0,19,0,19,NA,NA,NA,580
E2558W,16GD0210,Ames_27110_,12,1,0,19,0,19,-6.615316884,-12.22529616,4.913856438,1025
NC306,16GD0211,Ames_27149_,12,1,0,19,0,19,86.46666717,60.93866966,-56.75103441,1140
CML264,16GD0212,PI_595544_,12,1,0,15,0,15,-41.52901857,27.91072585,3.868968,402.5
CQ183,16GD0213,001:55-2,12,1,62.5,16,10,6,NA,NA,NA,2550
PA880,16GD0214,PI_517974_,12,1,0,15,0,15,-1.560243623,-13.69340873,2.347624092,702.5
OH7B,16GD0215,Ames_19323_,12,1,0,16,NA,NA,20.73596082,-14.00571146,16.2632673,1217.5
NC304,16GD0216,Ames_27148_,12,1,0,16,0,16,-56.1966532,41.46404155,-3.670373408,740
B103,16GD0217,Ames_27137_,13,1,0,12,NA,NA,18.05203124,-18.89515929,6.944714961,802.5
FR481,16GD0218,61:200-1,13,1,0,18,0,18,NA,NA,NA,322.5
CQ183,16GD0219,PI_595542_,13,1,0,15,NA,NA,NA,NA,NA,2535
NC296,16GD0220,PI_550555_,13,1,0,17,0,17,-70.94879394,58.75820393,-11.39140598,1112.5
HY,16GD0221,PI_583352_,13,1,0,18,0,18,33.27275632,-8.973169692,3.033698006,1042.5
B10,16GD0222,Ames_27102_,13,1,11.76470588,17,2,15,44.46315045,12.3651405,20.91410097,1012.5
CML154Q,16GD0223,Ames_27185_,13,1,66.66666667,9,6,3,-42.05332425,27.04224483,4.456096054,1925
CH701-30,16GD0224,Ames_27259_,13,1,0,17,0,NA,11.18658183,-15.63273644,9.620206067,385
W153R,16GD0225,PI_506248_,13,1,63.63636364,11,7,4,2.853385964,-21.37992503,4.505166365,1142.5
H49,16GD0226,PI_587142_,13,1,11.76470588,17,2,15,1.324741808,-24.45030366,16.29930541,627.5
VA35,16GD0227,NSL_53083_,13,1,0,17,0,17,-1.124431937,-30.96287472,-11.63705476,752.5
A441-5,16GD0228,Ames_24577_,13,1,0,4,0,4,-12.33124228,-4.955325971,1.215081436,530
VA26,16GD0229,Ames_27162_,13,1,0,14,0,14,27.72555207,-9.495974261,-5.850423801,1637.5
PA762,16GD0230,011:292-5,13,1,0,11,0,11,10.52293007,-46.39480863,-10.40739332,1297.5
CML11,16GD0231,Ames_27168_,13,1,0,19,0,19,-46.75739341,28.78774274,6.451921529,850
F2,16GD0232,Ames_27071_,13,1,0,16,0,16,NA,NA,NA,2407.5
FR4326,16GD0233,PI_540745_,13,1,0,10,NA,NA,NA,NA,NA,290
CML38,16GD0234,Ames_27088_,13,1,0,19,NA,NA,-43.72455848,25.45755654,3.815387644,1992.5
CQ183,16GD0235,Ames_27068_,14,1,0,17,NA,NA,NA,NA,NA,2582.5
TZI8,16GD0236,PI_506255_,14,1,0,18,NA,NA,NA,NA,NA,2582.5
MEF156-55-2,16GD0237,91:119-1,14,1,0,15,NA,NA,5.770679956,-44.87070826,-10.78220255,1112.5
VA102,16GD0238,NSL_445558_,14,1,0,12,NA,NA,-1.516114956,-26.34955676,-12.78540802,560
B64,16GD0239,PI_587143_,14,1,0,14,NA,NA,44.6582831,26.81784514,79.79854732,2280
CML10,16GD0240,Ames_27159_,14,1,0,15,NA,NA,-46.16270756,29.04711854,7.279585164,1012.5
MO46,16GD0241,001:55-2,14,1,13.33333333,15,2,13,8.327747424,-11.2113328,-4.943436049,450
H10,16GD0242,Ames_31535_,14,1,0,18,0,18,NA,NA,NA,690
NC354,16GD0243,PI_595561_,14,1,10,20,2,18,-59.1691763,49.8979737,-4.627986484,882.5
IA2132,16GD0244,011:292-5,14,1,76.47058824,17,13,4,13.86706209,-36.167697,-2.415219084,930
B109,16GD0245,Ames_20190_,14,1,0,15,0,15,98.17872797,62.17581045,-34.34727972,770
NC258,16GD0246,011:292-5,14,1,0,18,0,18,3.768505811,-46.97765857,-42.22736819,400
NC236,16GD0247,PI_594048_,14,1,0,15,0,15,1.199044606,-14.16233167,-3.8874005,1222.5
FR4326,16GD0248,Ames_27150_,14,1,0,17,0,17,NA,NA,NA,257.5
A188,16GD0249,91:174-1,14,1,0,9,0,9,-0.55328157,-20.77690215,-2.659514288,2345
N28HT,16GD0250,PI_608767_,14,1,66.66666667,18,12,6,32.60653528,6.235610416,8.680811919,1910
A659,16GD0251,NSL_65871_,14,1,16.66666667,18,3,15,11.4980658,-20.49533534,8.063083815,1750
KY21,16GD0252,Ames_27080_,14,1,6.25,16,1,15,4.320575183,-11.09334628,4.917624575,882.5
CML92,16GD0253,Ames_27130_,15,1,29.41176471,17,5,12,-26.058757,20.59836589,7.309515358,1077.5
I205,16GD0254,NSL_81599_,15,1,21.42857143,14,3,11,21.7790985,-14.7474697,10.33581932,1475
B84,16GD0255,Ames_27138_,15,1,0,17,0,17,68.95123238,28.00644325,5.301944346,545
H101,16GD0256,Ames_22443_,15,1,0,12,0,12,NA,NA,NA,575
NC308,16GD0257,011:292-5,15,1,0,19,0,19,NA,NA,NA,530
B105,16GD0258,Ames_12734_,15,1,20,15,3,12,31.73570619,6.005933544,-1.200490154,1217.5
FR4326,16GD0259,PI_531084_,15,1,0,17,0,17,NA,NA,NA,642.5
